Weights,Ambient Temperature,Electricity Tariff,IQB 1,IQB 2,IQB 3,IQB 4,IQB 5,IQB 6,IQB 7,Average IQB,Total IQB,Total Reward,Total Electric Cost,Total Gas Cost,Total Water Cost,Total Bath Cost
"0.0,0.0,0.0,1.0",15.0,1.0,0.36787493198247734,0.0,0.0,0.0,0.0,0.0,0.0,0.36787493198247734,0.36787493198247734,[-4.6321 -5.     -5.     -5.1123],0.0,0.11229787234042554,4.3817801661680254e-07,0.11229831051844216
"0.0,0.0,0.0,1.0",16.0,1.0,0.36787531848224125,0.0,0.0,0.0,0.0,0.0,0.0,0.36787531848224125,0.36787531848224125,[-4.6321 -5.     -5.     -5.1049],0.0,0.10489361702127659,4.3817801661680254e-07,0.1048940551992932
"0.0,0.0,0.0,1.0",17.0,1.0,0.3678756878046164,0.0,0.0,0.0,0.0,0.0,0.0,0.3678756878046164,0.3678756878046164,[-4.6321 -5.     -5.     -5.0963],0.0,0.09625531914893616,4.3817801661680254e-07,0.09625575732695278
"0.0,0.0,0.0,1.0",18.0,1.0,0.36787603994955104,0.0,0.0,0.0,0.0,0.0,0.0,0.36787603994955104,0.36787603994955104,[-4.6321 -5.     -5.     -5.0913],0.0,0.0913191489361702,4.3817801661680254e-07,0.09131958711418682
"0.0,0.0,0.0,1.0",19.0,1.0,0.36787637491699593,0.0,0.0,0.0,0.0,0.0,0.0,0.36787637491699593,0.36787637491699593,[-4.6321 -5.     -5.     -5.0845],0.0,0.08453191489361701,4.3817801661680254e-07,0.08453235307163363
"0.0,0.0,0.0,1.0",20.0,1.0,0.36787669270690415,0.0,0.0,0.0,0.0,0.0,0.0,0.36787669270690415,0.36787669270690415,[-4.6321 -5.     -5.     -5.0765],0.0,0.07651063829787234,4.3817801661680254e-07,0.07651107647588896
"0.0,0.0,0.0,1.0",21.0,1.0,0.36787699331923107,0.0,0.0,0.0,0.0,0.0,0.0,0.36787699331923107,0.36787699331923107,[-4.6321 -5.     -5.     -5.0691],0.0,0.0691063829787234,4.3817801661680254e-07,0.06910682115674002
"0.0,0.0,0.0,1.0",22.0,1.0,0.3678772767539347,0.0,0.0,0.0,0.0,0.0,0.0,0.3678772767539347,0.3678772767539347,[-4.6321 -5.     -5.     -5.0617],0.0,0.06170212765957446,4.3817801661680254e-07,0.061702565837591074
"0.0,0.0,0.0,1.0",23.0,1.0,0.3678775430109753,0.0,0.0,0.0,0.0,0.0,0.0,0.3678775430109753,0.3678775430109753,[-4.6321 -5.     -5.     -5.0568],0.0,0.0567659574468085,4.3817801661680254e-07,0.05676639562482511
"0.0,0.0,0.0,1.0",24.0,1.0,0.36787779209031557,0.0,0.0,0.0,0.0,0.0,0.0,0.36787779209031557,0.36787779209031557,[-4.6321 -5.     -5.     -5.0469],0.0,0.04689361702127659,4.3817801661680254e-07,0.046894055199293204
"0.0,0.0,0.0,1.0",25.0,1.0,0.00011281808925872171,3.877169683882714e-06,0.002667287271502787,0.030256487003891483,0.020498209627050762,0.008543140372048202,0.003277164927537816,0.009336997780139094,0.06535898446097366,[ 0.0654 -0.2033 -0.0769 -0.3499],0.2032709899376678,0.3498510638297872,0.07690638380448725,0.6300284375719423
"0.0,0.0,0.0,1.0",26.0,1.0,2.6010625505535058e-08,5.88469996373581e-05,0.00047791810421634327,7.85599171952345e-06,4.3503222972499175e-05,3.2224257279666425e-05,0.000174729358865826,0.00011358627790238885,0.000795103945316722,[ 0.0008 -0.0268 -0.0729 -0.306 ],0.02676988428459896,0.3060425531914894,0.0728974653384867,0.4057099028145751
"0.0,0.0,0.0,1.0",27.0,1.0,2.3257218589680482e-07,1.2754615855953122e-05,1.704899601412514e-06,1.3549042735884898e-05,1.6476200735890688e-06,2.2062470892664806e-05,4.587845267135621e-06,8.07700951607669e-06,5.653906661253684e-05,[ 5.6539e-05 -1.6191e-02 -1.1207e-01 -1.4006e-01],0.01619109265312925,0.14006382978723403,0.11207412092648647,0.2683290433668497
"0.0,0.0,0.0,1.0",28.0,1.0,8.058515094947469e-08,3.233221141047751e-05,7.649652284402297e-06,5.9462122349802816e-05,2.093017458323145e-05,1.5876503556846372e-05,5.201467899512997e-06,2.0218959605031848e-05,0.00014153271723522294,[ 0.0001 -0.0061 -0.0925 -0.0938],0.006089188541008172,0.0937872340425532,0.09245793166890708,0.19233435425246845
"0.0,0.0,0.0,1.0",29.0,1.0,9.359553007081317e-08,1.8918054870763577e-05,0.007747753592320369,0.001344938220287572,0.0013383647993009083,0.0005536408207927377,0.0005252317510966888,0.00164699154774273,0.01152894083419911,[ 0.0115 -0.001  -0.0549 -0.0796],0.000968906091898534,0.07959574468085105,0.05493695285595967,0.13550160362870925
"0.0,0.0,0.0,1.0",30.0,1.0,6.696130759773098e-05,5.717019316993282e-06,0.005857975158943463,0.0002834476205739725,0.005663731510682283,0.0014574791812704546,0.002498007237649042,0.0022619027194334196,0.015833319036033938,[ 1.5833e-02 -2.8560e-05 -4.1690e-02 -4.7511e-02],2.8560488166812384e-05,0.04751063829787234,0.04168987309453623,0.08922907188057538
"0.032841712,0.96715826,0.0,0.0",15.0,1.0,2.237903988321599e-06,1.3133663621640355e-18,0.09960420016026494,0.0,0.0,0.0,0.0,0.03320214602141775,0.09960643806425326,[-4.9004 -5.1815 -5.1725 -5.7404],0.18150000000000005,0.7404255319148935,0.17254895444188442,1.094474486356778
"0.032841712,0.96715826,0.0,0.0",16.0,1.0,1.0395363854977136e-05,6.21829798051642e-17,0.0,0.0,0.0,0.0,0.0,5.197681927519659e-06,1.0395363855039319e-05,[-5.     -5.     -5.1124 -5.4936],0.0,0.4936170212765956,0.1123542800534468,0.6059713013300424
"0.032841712,0.96715826,0.0,0.0",17.0,1.0,4.355863550022849e-05,2.004828194136236e-14,0.0,0.0,0.0,0.0,0.0,2.1779317760138385e-05,4.355863552027677e-05,[-5.     -5.     -5.1124 -5.4936],0.0,0.4936170212765956,0.1123542800534468,0.6059713013300424
"0.032841712,0.96715826,0.0,0.0",18.0,1.0,0.00015799248394837405,4.0327143443531645e-12,0.0,0.0,0.0,0.0,0.0,7.89962439905442e-05,0.0001579924879810884,[-4.9998 -5.     -5.1122 -5.4936],0.0,0.4936170212765956,0.11224036499849488,0.6058573862750904
"0.032841712,0.96715826,0.0,0.0",19.0,1.0,0.0005222830427141918,7.718661594189015e-11,0.0,0.0,0.0,0.0,0.0,0.00026114155995040386,0.0005222831199008077,[-4.9995 -5.     -5.1104 -5.4936],0.0,0.4936170212765956,0.11037648240207781,0.6039935036786734
"0.032841712,0.96715826,0.0,0.0",20.0,1.0,1.1224568080448679e-05,5.664434799004488e-14,0.0,0.0,0.0,0.0,0.0,5.612284068546513e-06,1.1224568137093026e-05,[-5.     -5.     -5.1053 -5.414 ],0.0,0.4140212765957446,0.1053389923861594,0.519360268981904
"0.032841712,0.96715826,0.0,0.0",21.0,1.0,2.6664509295402557e-21,0.0,0.0,0.0,0.0,0.0,0.0,2.6664509295402557e-21,2.6664509295402557e-21,[-5.     -5.     -5.0086 -5.0765],0.0,0.07651063829787234,0.008585248014955542,0.08509588631282788
"0.032841712,0.96715826,0.0,0.0",22.0,1.0,2.630730963660185e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.630730963660185e-05,2.630730963660185e-05,[-5.     -5.     -5.001  -5.0858],0.0,0.08576595744680851,0.0009626218867483938,0.0867285793335569
"0.032841712,0.96715826,0.0,0.0",23.0,1.0,2.6478399586066885e-11,0.0,0.0,0.0,0.0,0.0,0.0,2.6478399586066885e-11,2.6478399586066885e-11,[-5.     -5.     -5.0041 -5.0568],0.0,0.0567659574468085,0.004053839775452059,0.06081979722226056
"0.032841712,0.96715826,0.0,0.0",24.0,1.0,2.2527256526155115e-05,0.0007203484290484906,0.024728340277543406,0.04868115088524432,0.02397802446162425,0.004656687306826861,0.0011682335827191907,0.014850758885647528,0.10395531219953269,[ 0.104  -0.1343 -0.0914 -0.4017],0.1342610764276753,0.4016808510638298,0.09137465963537407,0.6273165871268791
"0.032841712,0.96715826,0.0,0.0",25.0,1.0,0.06908863059580063,0.028973400151607685,0.0,0.0,0.0,0.0,0.0,0.049031015373704155,0.09806203074740831,[-4.9019 -5.1474 -5.1053 -5.3906],0.1474291751750034,0.3905744680851063,0.1053389923861594,0.6433426356462691
"0.032841712,0.96715826,0.0,0.0",26.0,1.0,0.15026160664834998,0.12939207838167177,0.30864184741170086,0.0,0.0,0.0,0.0,0.19609851081390753,0.5882955324417226,[-4.4117 -5.2498 -5.1186 -5.4041],0.2497831828806738,0.40414893617021275,0.1186232133583734,0.77255533240926
"0.032841712,0.96715826,0.0,0.0",27.0,1.0,0.23507798247982187,0.8365179729939641,0.7676693105174434,0.6613115182893582,0.940961407083482,0.6682388360782033,0.5929307136866384,0.6718153915898445,4.702707741128911,[ 4.7027 -0.2308 -0.1921 -0.4122],0.2308492895126802,0.41217021276595733,0.1920545041537509,0.8350740064323885
