Weights,Ambient Temperature,Electricity Tariff,IQB 1,IQB 2,IQB 3,IQB 4,IQB 5,IQB 6,IQB 7,Average IQB,Total IQB,Total Reward,Total Electric Cost,Total Gas Cost,Total Water Cost,Total Bath Cost
"0.0032571254,0.58440524,0.41233763,0.0",15.0,1.0,1.960352951470855e-06,0.0018067629891682486,0.2882809308254784,0.6978290876479776,0.3678792471862715,0.46632600591406514,0.732234629242476,0.36490837487976974,2.554358624158388,[ 2.5544 -0.2265 -0.3289 -1.0292],0.22650418591333443,1.029191489361702,0.32886754781187766,1.5845632230869142
"0.0032571254,0.58440524,0.41233763,0.0",16.0,1.0,4.675679356597829e-06,0.009836688199901609,0.415995405453951,0.5354855772852956,0.3678792375336879,0.6718789102578552,0.36787925978834224,0.33842282202834145,2.36895975419839,[ 2.369  -0.1931 -0.2956 -0.9274],0.19310067971121878,0.927382978723404,0.2955718738367579,1.4160555322713806
"0.0032571254,0.58440524,0.41233763,0.0",17.0,1.0,4.833204807533433e-20,0.01145469792385495,0.3528607403916711,0.6958956101337544,0.3678792786727304,0.3984395551352798,0.36787922868322737,0.3134870158486454,2.194409110940518,[ 2.1944 -0.2029 -0.2614 -0.849 ],0.20286863847540162,0.8490212765957444,0.2613908010280441,1.3132807160991902
"0.0032571254,0.58440524,0.41233763,0.0",18.0,1.0,1.0238515357087963e-19,0.011211516879903781,0.4224178895591545,0.5291682240964148,0.36787926838660995,0.3678789798831589,0.36713702345162336,0.295098986036695,2.065692902256865,[ 2.0657 -0.1786 -0.2294 -0.7386],0.17857503558067528,0.7385744680851064,0.22941455323019122,1.146564056895973
"0.0032571254,0.58440524,0.41233763,0.0",19.0,1.0,5.366468737590422e-14,0.3757415098144085,0.585713125944186,0.36787929121968826,0.36787903156797286,0.3678787340095242,0.3678784325703155,0.3475671607323071,2.4329701251261495,[ 2.433  -0.1815 -0.1588 -0.6071],0.18150000000000005,0.6071489361702126,0.15879537602196866,0.9474443121921814
"0.0032571254,0.58440524,0.41233763,0.0",20.0,1.0,5.4794485837451026e-14,0.4394781480743159,0.8312240181464737,0.36787934133390277,0.3678791178826561,0.3678788537902698,0.36787858236708765,0.39174543737068007,2.7422180615947607,[ 2.7422 -0.178  -0.1536 -0.5757],0.17796377832479834,0.5756808510638297,0.15361246327454617,0.9072570926631742
"0.0032571254,0.58440524,0.41233763,0.0",21.0,1.0,4.918607498490806e-06,0.30627790473496097,0.8137564912187593,0.3678793505267637,0.36787914944080535,0.36787891330206524,0.367878671322731,0.3702221998790834,2.5915553991535836,[ 2.5916 -0.1993 -0.175  -0.5201],0.19926005587020404,0.5201489361702126,0.17498748967797176,0.8943964817183884
"0.0032571254,0.58440524,0.41233763,0.0",22.0,1.0,0.05925946370842999,0.8449416999739182,0.3678793638503626,0.3678791854177399,0.3678789761456631,0.3678787618222911,0.36787855706320505,0.39194228685451576,2.74359600798161,[ 2.7436 -0.2682 -0.1195 -0.4153],0.26818311257199795,0.4152553191489361,0.11953774331646416,0.8029761750373983
"0.0032571254,0.58440524,0.41233763,0.0",23.0,1.0,0.11906284338424065,0.7026374343188097,0.367879356890466,0.3678791940420786,0.3678790082975023,0.3678788205554273,0.36787864253941593,0.38015647143256287,2.6610953000279403,[ 2.6611 -0.2488 -0.1148 -0.385 ],0.24878748696857278,0.38502127659574453,0.11484154807891479,0.748650311643232
"0.0032571254,0.58440524,0.41233763,0.0",24.0,1.0,0.19262695403850613,0.5045818766919754,0.3678793448311385,0.36787919664106544,0.3678790332657197,0.36787887088453775,0.3678787184271759,0.36237199925430275,2.536603994780119,[ 2.5366 -0.2201 -0.111  -0.3616],0.22009280229338443,0.3615744680851063,0.11098650311124925,0.69265377348974
"0.0032571254,0.58440524,0.41233763,0.0",25.0,1.0,0.08827901804619513,0.5592095654872391,0.7816718925472602,0.6239797158811475,0.48977845859224955,0.33296376443095366,0.5194857072224233,0.4850525888867812,3.3953681222074685,[ 3.3954 -0.0791 -0.191  -0.5041],0.07913805275388319,0.5041063829787233,0.19096695829426066,0.7742113940268672
"0.0032571254,0.58440524,0.41233763,0.0",26.0,1.0,0.13510556522827888,0.1584933705275994,0.978978715171358,0.6915549665809362,0.7399004300451435,0.6908167502580979,0.7513428871884905,0.592313240714272,4.146192684999904,[ 4.1462  0.     -0.1926 -0.5158],0.0,0.5158297872340424,0.19255366799039467,0.708383455224437
"0.0032571254,0.58440524,0.41233763,0.0",27.0,1.0,0.19131747310425953,0.33596695390826997,0.9332054213001901,0.6242710395626496,0.7757070060011525,0.6918661330109858,0.7268725482446278,0.6113152250188765,4.279206575132135,[ 4.2792  0.     -0.1775 -0.464 ],0.0,0.4639999999999998,0.17750860914143687,0.6415086091414367
"0.0032571254,0.58440524,0.41233763,0.0",28.0,1.0,0.2950271922336775,0.4275101937918667,0.8715159882259214,0.5677864540469305,0.8047886106146801,0.6042513225775534,0.7388007299124424,0.6156686416290101,4.309680491403071,[ 4.3097  0.     -0.1629 -0.4146],0.0,0.4146382978723404,0.16294533407511574,0.5775836319474561
"0.0032571254,0.58440524,0.41233763,0.0",29.0,1.0,0.4240674409123302,0.5294245599214784,0.7350647465250127,0.6103065999366931,0.7318976603686594,0.6277870333694288,0.7305538467059658,0.6270145553913669,4.389101887739568,[ 4.3891  0.     -0.1544 -0.3714],0.0,0.3714468085106382,0.1543708247605585,0.5258176332711967
"0.0032571254,0.58440524,0.41233763,0.0",30.0,1.0,0.4942642985926063,0.48953339254110195,0.7643327321645885,0.5923912932572128,0.734855959324523,0.605502862839956,0.7534205497881481,0.6334715840725911,4.434301088508137,[ 4.4343  0.     -0.1446 -0.3313],0.0,0.3313404255319149,0.14463457681812064,0.47597500235003554
"0.031980503,0.050901964,0.36986342,0.5472541",15.0,1.0,2.237903988321599e-06,1.4304544626918302e-08,0.6303905870904837,0.3678792976160542,0.3678789482928557,0.3678785224449856,0.3678780786720078,0.3002725266178457,2.1019076863249198,[ 2.1019 -0.3255 -0.1935 -0.7633],0.32549978626139975,0.763255319148936,0.19352964244305276,1.2822847478533885
"0.031980503,0.050901964,0.36986342,0.5472541",16.0,1.0,1.0395363854977136e-05,0.0036728839555319292,0.8349276542202614,0.3678792916463274,0.36787896375690676,0.3678785712320582,0.3678781654620403,0.33001798937671156,2.310125925636981,[-2.6899 -5.2902 -5.1898 -5.754 ],0.2901617828774793,0.7539999999999998,0.1898316403876893,1.2339934232651686
"0.031980503,0.050901964,0.36986342,0.5472541",17.0,1.0,4.355863550022849e-05,0.06246496857933282,0.9039868131509431,0.3678793147707633,0.36787901858169786,0.3678786618172093,0.3678782919985504,0.3482872325048567,2.438010627533997,[ 2.438  -0.2644 -0.1957 -0.6818],0.26437243677602734,0.6818085106382977,0.19569596364179034,1.1418769110561153
"0.031980503,0.050901964,0.36986342,0.5472541",18.0,1.0,0.0001646437183356943,0.14469282270854697,0.9383999202158406,0.36787933244150406,0.36787906485001054,0.36787874162473516,0.36787840615422274,0.3649675616733137,2.5547729317131957,[ 2.5548 -0.2281 -0.1917 -0.6269],0.22805526931928052,0.6268936170212764,0.19169134001276278,1.0466402263533197
"0.031980503,0.050901964,0.36986342,0.5472541",19.0,1.0,0.00013912037686393395,0.15067967055208814,0.9097311435608028,0.3678793390255439,0.36787909470624114,0.3678788020188069,0.3678784993589844,0.36172366708561876,2.5320656695993313,[ 2.5321 -0.2261 -0.1909 -0.5843],0.22606500303243596,0.5843191489361701,0.1908808018901131,1.001264953858719
"0.031980503,0.050901964,0.36986342,0.5472541",20.0,1.0,1.083348883979834e-05,0.08663028599577527,0.9792197793700221,0.3678793656618494,0.012905640045916222,0.3479326430573322,0.10809251615990864,0.27181015196852054,1.9026710637796438,[ 1.9027 -0.2328 -0.2169 -0.5849],0.23278431305359754,0.5849361702127658,0.2168662802617204,1.0345867635280839
"0.031980503,0.050901964,0.36986342,0.5472541",21.0,1.0,6.865005346886333e-06,0.16795949458174506,0.8534797345624623,0.36787935405194533,0.04771423639400795,0.17828611489396867,0.30217077126421654,0.2739280815362418,1.9174965707536928,[ 1.9175 -0.1815 -0.2154 -0.5886],0.18150000000000005,0.5886382978723403,0.21536248001801267,0.9855007778903531
"0.031980503,0.050901964,0.36986342,0.5472541",22.0,1.0,0.00844004407705036,0.9441827201962755,0.3678794123443284,0.26926264510755993,0.006949048124710609,0.6115062453976466,0.3678793367198446,0.3680142074239166,2.576099451967416,[ 2.5761 -0.2578 -0.1366 -0.4646],0.2577711936066595,0.46461702127659565,0.13656707700001208,0.8589552918832672
"0.031980503,0.050901964,0.36986342,0.5472541",23.0,1.0,0.03872394559751429,1.0,0.3605853982258917,0.32239302106578155,0.2068935835016986,2.5167826883295947e-05,0.7021208385904338,0.37582027925831474,2.630741954808203,[ 2.6307 -0.2393 -0.1386 -0.4257],0.2392870058287267,0.42574468085106376,0.13859693675941087,0.8036286234392014
