Weights,Mean_Average_IQB,Mean_IQB_temp15,Mean_IQB_temp20,Mean_IQB_temp25,Mean_IQB_temp30
"0.0,0.0,1.0,0.0",0.20322316911239294,0.2413181633044872,0.2181373127248368,0.1956615592065312,0.2796210174963002
"0.0,0.7740976,0.12989824,0.096004136",0.45932821980529226,0.2448857101505765,0.405096865276306,0.3872481325411402,0.7621764885443901
"0.0,1.0,0.0,0.0",0.5687567473061724,0.424217178220125,0.4924995666689343,0.6044553424598927,0.7953390214320114
"0.0021240255,0.61383325,0.0,0.38404274",0.3947391281844537,0.2477790873218097,0.3348436397994708,0.3845487017568402,0.7765975362061993
"0.0070972485,0.54948866,0.21533705,0.22807705",0.4009290795086638,0.2257644069652618,0.3169368746151418,0.3752858324187274,0.6906356822960745
"0.011821167,0.5440138,0.0,0.44416502",0.44125688653925765,0.2937654946578679,0.384516738109595,0.3730382479119605,0.8196145459642434
"0.022941029,0.38431886,0.5927401,0.0",0.5838727288804096,0.3450616769907329,0.3656832135567611,0.692001659236056,0.8596649538900643
"0.02939905,0.3427203,0.5639175,0.06396312",0.581855056877579,0.3387190930803158,0.3834654241749397,0.6930861872680764,0.851067790799522
"0.04090296,0.55750763,0.0,0.40158936",0.6722351039859888,0.3940841067815265,0.7058490961672399,0.6905227788940882,0.8866191245982059
"0.07756184,0.92243814,0.0,0.0",0.7790216224747927,0.5840654337622884,0.7224400741965441,0.8528318315660627,0.8138083283417211
"0.08025311,0.44958204,0.0,0.47016487",0.708169061130518,0.4071079744504277,0.7154375725031114,0.8033615470178892,0.8767209688073974
"0.36572623,0.63427377,0.0,0.0",0.8062278253726649,0.5990961362568434,0.7717240160152138,0.8950493613475218,0.8947743918360643
"01,0,0,0",0.5207051887050956,0.6225320661227826,0.6435491736370206,0.6697449974967767,0.6432160479455792
