Weights,Ambient Temperature,Electricity Tariff,IQB 1,IQB 2,IQB 3,IQB 4,IQB 5,IQB 6,IQB 7,Average IQB,Total IQB,Total Reward,Total Electric Cost,Total Gas Cost,Total Water Cost,Total Bath Cost
"0.0,1.0,0.0,0.0",15.0,1.0,1.2468187734066143e-09,7.893740803644959e-05,0.018376435421213873,0.12781191946996573,0.608952831725985,0.12449435888591794,0.0027205642978433147,0.1260621497793973,0.8824350484557811,[ 0.8824 -0.1328 -0.4371 -1.1637],0.13275991620423094,1.163702127659574,0.4370903189068573,1.7335523627706624
"0.0,1.0,0.0,0.0",16.0,1.0,5.816024837031857e-09,0.00022773997982481815,0.036704210853372464,0.4724178468555769,0.07832714484637168,0.02350432814787324,0.005819906976692914,0.08814302621081957,0.617001183475737,[ 0.617  -0.1831 -0.3736 -0.9638],0.18312098589920728,0.963787234042553,0.37361197285932096,1.5205201928010812
"0.0,1.0,0.0,0.0",17.0,1.0,3.0517734694367895e-08,0.0006554419312224798,0.06882696896049512,0.30818246623949647,0.39724688860715,0.07616949046615012,0.0011688802452951062,0.12175002385250629,0.852250166967544,[ 0.8523 -0.056  -0.378  -0.9835],0.056045826867172854,0.9835319148936168,0.37797666043812783,1.4175544021989175
"0.0,1.0,0.0,0.0",18.0,1.0,1.2130611294809414e-07,0.001639050497957622,0.1126230645589038,0.47476358666067103,0.0770195630757209,0.22688522727606245,0.05350900396791929,0.13520565962047829,0.9464396173433479,[ 0.9464  0.     -0.3739 -0.973 ],0.0,0.9730425531914891,0.37394410338927503,1.3469866565807642
"0.0,1.0,0.0,0.0",19.0,1.0,2.924280262166764e-06,0.00961367831920175,0.21885689865888897,0.7611650966505683,0.16339255111911088,0.014050582683155764,0.16511184057232137,0.19031336746907274,1.3321935722835092,[ 1.3322 -0.0752 -0.3251 -0.8311],0.07518621467471516,0.8311276595744679,0.3251493948263448,1.2314632690755278
"0.0,1.0,0.0,0.0",20.0,1.0,0.0017266167308869357,0.17168703900642684,0.9527935630566516,0.25196511842990504,0.029314045310459676,0.6411493637194736,0.16310019846215687,0.3159622778165658,2.2117359447159606,[ 2.2117 -0.0839 -0.2626 -0.7663],0.08387170945231791,0.7663404255319148,0.262572039158873,1.1127841741431057
"0.0,1.0,0.0,0.0",21.0,1.0,0.00479044463456339,0.22269849776029074,0.9061357967122435,0.4512027403108704,0.6894475050615345,0.3338923826083951,0.5975890989958179,0.4579652094405308,3.2057564660837157,[ 3.2058 -0.0928 -0.2869 -0.7818],0.0927697223204784,0.7817659574468085,0.28688188682856114,1.1614175665958482
"0.0,1.0,0.0,0.0",22.0,1.0,0.011669993136800949,0.025949080481521024,0.03939179535151338,0.10663234867592418,0.42415564832177344,0.09107121771936874,0.9464408763270964,0.2350444228591426,1.6453109600139981,[ 1.6453 -0.0398 -0.4724 -0.9342],0.039816315290617056,0.9341702127659575,0.4723938626143134,1.4463803906708879
"0.0,1.0,0.0,0.0",23.0,1.0,0.009816259167766506,0.015029758845518057,0.018383828084680795,0.01943845533183322,0.020234755933012393,0.020670038312971664,0.021048300620502235,0.017803056613754982,0.12462139629628488,[ 0.1246  0.     -0.6117 -0.6756],0.0,0.6756382978723405,0.6116975943551648,1.2873358922275053
"0.0,1.0,0.0,0.0",24.0,1.0,0.009752414543015613,0.015270061388684756,0.01761880553437859,0.0183001632683126,0.018483892288545772,0.0185363503212211,0.01867168119767793,0.016661909791690906,0.11663336854183635,[ 0.1166  0.     -0.6117 -0.5732],0.0,0.5732127659574467,0.6116975943551648,1.1849103603126117
