Weights,Mean_Average_IQB,Mean_IQB_temp15,Mean_IQB_temp20,Mean_IQB_temp25,Mean_IQB_temp30
"0.08183902,0.2456498,0.4641224,0.20838878",0.7788250256363104,0.4934257445258075,0.759508232146912,0.8983478316673723,0.7590288910590506
"0.102235414,0.0,0.56456536,0.3331992",0.770906753655985,0.5985252366877726,0.7656397305293735,0.8162282479919821,0.8467829539340543
"1.0,0.0,0.0,0.0",0.8170479095868801,0.6697896184008011,0.7523739959995007,0.8762232702728345,0.8904262754388308
"1.0,0.0,0.0,0.0",0.8136620770822837,0.6201461444160774,0.770766961200048,0.8744714267713279,0.8437625744548721
"0.29849294,0.70150703,0.0,0.0",0.8079605149743468,0.6213052141569884,0.7706086454388223,0.877705958071747,0.8848173364738072
"1.0,0.0,0.0,0.0",0.8232486338753331,0.6699491177367562,0.7716919183860239,0.8892876274327265,0.8804987951017169
"0.36572623,0.63427377,0.0,0.0",0.8062278253726649,0.5990961362568434,0.7717240160152138,0.8950493613475218,0.8947743918360643
"1.0,0.0,0.0,0.0",0.8314436876945566,0.6791945171275284,0.8227568287452698,0.8862774508115397,0.8558055357685129
"0.16057749,0.0,0.8394225,0.0",0.8084148861948438,0.6847742277777582,0.7477073877941457,0.8872090397946328,0.8306963359997785
"1.0,0.0,0.0,0.0",0.8115160878808513,0.6398826522935795,0.7990802220782893,0.8696932970642463,0.8586275909849886
