Weights,Mean_Average_IQB,Mean_IQB_temp15,Mean_IQB_temp20,Mean_IQB_temp25,Mean_IQB_temp30
"0.0,0.042286996,0.957713,0.0",0.41857543183441037,0.5038977777963047,0.3648728006468497,0.4472360952035331,0.4405145082592732
"0.0,0.36384898,0.0,0.636151",0.31165450802500283,0.3678749319824773,0.1640522597856737,0.3371184980552059,0.3796963044922954
"0.011880687,0.0,0.9881193,0.0",0.4537473001868155,0.5094522340199095,0.4110337916039014,0.5294200855354934,0.4363560725521598
"0.013598019,0.3742992,0.61210275,0.0",0.4599904703474573,0.5189369692036309,0.4932624143775547,0.4422930312015375,0.4445361799560103
"0.018004347,0.24902841,0.73296726,0.0",0.4684292073000216,0.5176129682644367,0.470158064479611,0.4417883575378746,0.4335809148500632
"0.032691598,0.18173881,0.7855696,0.0",0.5138822989557585,0.517081298743299,0.5572706373947528,0.6158913835814942,0.4135115508392138
"0.037873376,0.0,0.9621266,0.0",0.6715815580599768,0.5111265293647277,0.5588651075835315,0.7974163325877585,0.7880367367147466
"0.041661933,0.40894502,0.0,0.54939306",0.577688881119371,0.3172906918205525,0.4056024421821965,0.823708000945067,0.7194659598077379
"0.05172411,0.74436766,0.0,0.20390823",0.7754461570428718,0.6785900256842511,0.7481611147641162,0.8035200171256892,0.84999696555448
"0.08491679,0.0,0.84779453,0.06728866",0.7835635235623154,0.591133374705746,0.7468619139032511,0.8619441174109196,0.8263537358116428
"1.0,0.0,0.0,0.0",0.8170479095868801,0.6697896184008011,0.7523739959995007,0.8762232702728345,0.8904262754388308
