P-iqb,P-eletrico,P-agua,P-gas,Temperatura ambiente,Tarifa da energia Selétrica,IQB 1,IQB 2,IQB 3,IQB 4,IQB 5,IQB 6,IQB 7,IQB médio,IQB total,Recompensa total,Custo elétrico total,Custo de gás total,Custo de água total,Custo total do banho
0.044706658,0.74671316,0.2085802,0.0,15.0,1.0,6.74391214444746e-07,0.0005411223040205502,0.3483579410038035,0.9591376787386812,0.8898263448048901,0.9250485627972185,0.9228312700605714,0.5779633705857714,4.0457435941004,[ 4.0457 -0.1872 -0.3713 -1.2069],0.18719321658890256,1.2068936170212763,0.37129779806261676,1.7653846316727955
0.044706658,0.74671316,0.2085802,0.0,16.0,1.0,1.5736490166117081e-06,0.028065544553596673,0.8683077349107128,0.9219375388034698,0.9176368151722178,0.9152066395749856,0.9140347270447016,0.6521700819583859,4.565190573708701,[ 4.5652 -0.28   -0.3334 -1.0625],0.28004035944785455,1.0625106382978722,0.333444064001324,1.6759950617470505
0.044706658,0.74671316,0.2085802,0.0,17.0,1.0,1.0379587186359587e-06,0.0641369851811533,0.9357339552622312,0.9094453906544974,0.9046255755523481,0.9021711052189003,0.9009490267449416,0.6595804395103987,4.617063076572791,[ 4.6171 -0.2448 -0.314  -1.0002],0.24475413108336191,1.000191489361702,0.3139626129734432,1.5589082334185071
0.044706658,0.74671316,0.2085802,0.0,18.0,1.0,4.882511166536825e-07,0.13320922013542713,0.9956899973990058,0.8912671307193867,0.9380552796058258,0.9364933874278696,0.9359330216155112,0.6900926464505919,4.830648525154143,[ 4.8306 -0.213  -0.2968 -0.9496],0.21304464931886785,0.949595744680851,0.29681254167489124,1.45945293567461
0.044706658,0.74671316,0.2085802,0.0,19.0,1.0,2.423733970795845e-06,0.21177815675083309,1.0,0.923801622730241,0.9224425832640418,0.9218766960988437,0.921556833771826,0.700208330907108,4.901458316349756,[ 4.9015 -0.1815 -0.2832 -0.8928],0.18150000000000005,0.8928297872340424,0.2831662351677437,1.3574960224017862
0.044706658,0.74671316,0.2085802,0.0,20.0,1.0,0.00011063777387633768,0.2861932637271005,1.0,0.9582910775165733,0.9562308720016218,0.9553911893613344,0.9549647048415861,0.7301688207460132,5.111181745222092,[ 5.1112 -0.1733 -0.2782 -0.8385],0.17328074758501444,0.838531914893617,0.27818897508655205,1.2900016375651835
0.044706658,0.74671316,0.2085802,0.0,21.0,1.0,0.0027163135005084903,0.927655072078995,0.9877364771034192,0.9457517877336022,0.9822586202093013,0.9418356644237517,0.9808939915018902,0.8241211323644955,5.7688479265514685,[ 5.7688 -0.2791 -0.2539 -0.7417],0.2790597335421968,0.7416595744680851,0.2538853048509721,1.274604612861254
0.044706658,0.74671316,0.2085802,0.0,22.0,1.0,0.004924966024445372,0.9777338738379194,1.0,0.9735352744139608,0.9714735159126342,0.9704553807959782,0.9699571007130542,0.8382971588139989,5.868080111697992,[ 5.8681 -0.2557 -0.2422 -0.6911],0.25570110888277486,0.691063829787234,0.24221705862109527,1.1889819972911042
0.044706658,0.74671316,0.2085802,0.0,23.0,1.0,0.043871986160366035,0.8623803776736754,0.9974477560494254,0.9552176853631488,0.9902248203252394,0.9551553637880243,0.9902072624150544,0.8277864645392763,5.794505251774934,[ 5.7945 -0.1815 -0.2388 -0.667 ],0.18150000000000005,0.6669999999999999,0.23875014323995258,1.0872501432399526
0.044706658,0.74671316,0.2085802,0.0,24.0,1.0,0.36787779209031557,0.36787779209031557,0.36787779209031557,[-4.6321 -5.1786 -5.     -5.2468],0.17860557496619697,0.2468085106382978,4.3817801661680254e-07,0.4254145237825114
0.044706658,0.74671316,0.2085802,0.0,25.0,1.0,0.36787802399192054,0.36787802399192054,0.36787802399192054,[-4.6321 -5.0799 -5.     -5.2468],0.07987796120071591,0.2468085106382978,4.3817801661680254e-07,0.3266869100170303
0.044706658,0.74671316,0.2085802,0.0,26.0,1.0,0.36787823871575787,0.36787823871575787,0.36787823871575787,[-4.6321 -5.0238 -5.     -5.2098],0.023806007414865556,0.20978723404255314,4.3817801661680254e-07,0.23359367963543531
0.044706658,0.74671316,0.2085802,0.0,27.0,1.0,0.3678784362617973,0.6574612821185933,0.9603775108921051,0.9611727068400576,0.9597235025323722,0.959187135913195,0.958906568123179,0.8321010203830428,5.8247071426813,[ 5.8247 -0.1083 -0.1624 -0.4603],0.10831581282955158,0.46029787234042546,0.1624272881905787,0.7310409733605557
0.044706658,0.74671316,0.2085802,0.0,28.0,1.0,0.3678786166300113,0.7225708811534446,0.9391983076759166,0.9402645705320545,0.9395107435445929,0.9391612409462736,0.9389966053153442,0.8267972808282339,5.787580965797638,[ 5.7876 -0.1159 -0.1524 -0.3986],0.11585719278196677,0.398595744680851,0.15243292424468902,0.6668858617075067
0.044706658,0.74671316,0.2085802,0.0,29.0,1.0,0.36787877982037465,0.7588616339867246,0.9295644984453558,0.9140583565065016,0.9382805055042678,0.9384060840245123,0.9386168003854944,0.8265238083818901,5.785666658673231,[ 5.7857 -0.1172 -0.1509 -0.3548],0.1172157434993348,0.35478723404255313,0.1508879298847396,0.6228909074266276
0.044706658,0.74671316,0.2085802,0.0,30.0,1.0,0.36787892583286436,0.3973406293304118,0.9023844610137925,0.9206935135896204,0.9131461871661282,0.914121531109468,0.9142383649406315,0.7614005161404167,5.329803612982917,[ 5.3298  0.     -0.1509 -0.3548],0.0,0.35478723404255313,0.15086238884077272,0.5056496228833258
0.0,0.0,1.0,0.0,15.0,1.0,2.7737154687148535e-08,0.08682870540328994,0.919324241120093,0.36787929426075433,0.06313065765604016,0.601660893408225,0.3678792321045193,0.343814721670011,2.406703051690077,[ 2.4067 -0.4261 -0.207  -0.7417],0.4261413552426952,0.741659574468085,0.20700047738330843,1.3748014070940886
0.0,0.0,1.0,0.0,16.0,1.0,1.1020464646786337e-06,0.16667123997572889,0.9564111011275981,0.36787931219884656,0.6764692535369956,0.36787926054760384,0.6672029901464706,0.45750203708281545,3.2025142595797083,[ 3.2025 -0.3959 -0.2281 -0.7805],0.3958528025762398,0.7805319148936168,0.22811457633163423,1.4044992938014906
0.0,0.0,1.0,0.0,17.0,1.0,1.350638035582216e-05,0.25419059085451506,0.9695165636664904,0.36787932752092956,0.7336135839218824,0.36787928471494297,0.7254983225160461,0.48837016851073745,3.418591179575162,[ 3.4186 -0.3723 -0.2222 -0.7441],0.3723434003512532,0.7441276595744679,0.2221657024477216,1.3386367623734428
0.0,0.0,1.0,0.0,18.0,1.0,1.3980753149558005e-06,0.12738661482156058,0.9734155521639591,0.3678793410167354,0.7888921376086672,0.367879307545309,0.7815002385651232,0.4867077985423814,3.4069545897966695,[ 3.407  -0.2143 -0.228  -0.7552],0.21428255448273598,0.7552340425531914,0.22795450846850956,1.197471105504437
0.0,0.0,1.0,0.0,19.0,1.0,4.0736503604871574e-06,0.2632384357775705,0.9839228887373366,0.36787935560959956,0.912621039989346,0.3678793402758624,0.907581523599965,0.5433038082342916,3.803126657640041,[ 3.8031 -0.1901 -0.2263 -0.7367],0.19012047115932285,0.736723404255319,0.22632331500275055,1.1531671904173924
0.0,0.0,1.0,0.0,20.0,1.0,1.846335485710654e-05,0.35592963715480785,0.9770413697755248,0.36780872928949254,0.8856077040906987,0.36787934866698035,0.9428113027029322,0.5567280792907562,3.8970965550352936,[ 3.8971 -0.1701 -0.2146 -0.6911],0.17008250370110284,0.6910638297872339,0.21462760980375922,1.0757739432920959
0.0,0.0,1.0,0.0,21.0,1.0,0.0035408725621966326,0.7474319991646459,0.36778373505679735,0.9410357656927477,0.3678793701225658,0.9206263107108299,0.367879366187598,0.5308824884996258,3.716177419497381,[ 3.7162 -0.281  -0.163  -0.5337],0.2809784765094433,0.5337234042553191,0.16299253291783516,0.9776944136825976
0.0,0.0,1.0,0.0,22.0,1.0,0.01055972006389818,0.9454762978268831,0.3242285329962347,0.8941796352843691,0.36787937412684313,0.8804189704961977,0.3678793718764241,0.5415174146672643,3.7906219026708503,[ 3.7906 -0.2588 -0.1567 -0.501 ],0.25876965874385927,0.5010212765957446,0.15666817027803046,0.9164591056176343
0.0,0.0,1.0,0.0,23.0,1.0,0.023883239633612576,0.8689870670558697,0.35705561052541557,0.8111298396919375,0.3678793739758047,0.7992231267571602,0.36787937232886425,0.513719661424095,3.5960376299686647,[ 3.596  -0.2371 -0.1445 -0.4584],0.23713715119440926,0.4584468085106383,0.14451051750218388,0.8400944772072314
0.0,0.0,1.0,0.0,24.0,1.0,0.050723856520435845,0.6412300126422046,0.36787936204279015,0.8703672510426473,0.3673874394218336,0.8573604497592767,0.36736824877400165,0.5031880886004557,3.52231662020319,[ 3.5223 -0.1815 -0.138  -0.4424],0.18150000000000005,0.44240425531914884,0.1380073865767723,0.7619116418959213
0.0,0.0,1.0,0.0,25.0,1.0,0.36787802399192054,0.36787802399192054,0.36787802399192054,[-4.6321 -5.0799 -5.     -5.2468],0.07987796120071591,0.2468085106382978,4.3817801661680254e-07,0.3266869100170303
0.0,0.0,1.0,0.0,26.0,1.0,0.36787823871575787,0.36787823871575787,0.36787823871575787,[-4.6321 -5.0238 -5.     -5.2098],0.023806007414865556,0.20978723404255314,4.3817801661680254e-07,0.23359367963543531
0.0,0.0,1.0,0.0,27.0,1.0,0.3678784362617973,0.8643422852671598,0.9053413784877622,0.3678794340618102,0.7046342436698537,0.3644025568955685,0.8737922843188182,0.6354672312803957,4.44827061896277,[ 4.4483 -0.1065 -0.1067 -0.3708],0.10647815341890535,0.37082978723404253,0.106681615705321,0.5839895563582689
0.0,0.0,1.0,0.0,28.0,1.0,0.3678786166300113,0.9088350807382222,0.9177033439697049,0.36808214524056465,0.7883027759277799,0.35353735443374434,0.8247379076526654,0.6470110320846703,4.529077224592692,[ 4.5291 -0.1175 -0.1042 -0.3283],0.11745874514330598,0.3282553191489361,0.10419350087207985,0.5499075651643219
0.0,0.0,1.0,0.0,29.0,1.0,0.36787877982037465,0.8803494336258205,0.9142394158249765,0.369209360298105,0.6905545521505705,0.9169878495835577,0.9170083902420406,0.7223182545064921,5.056227781545445,[ 5.0562 -0.1191 -0.1183 -0.3104],0.11913586254075599,0.3103617021276595,0.11831752033240955,0.547815085000825
0.0,0.0,1.0,0.0,30.0,1.0,0.36787892583286436,0.7505200486592688,0.897056798636804,0.9176669135817103,0.9127174051138818,0.9136847527074063,0.9140366635419381,0.8105087868676962,5.673561508073874,[ 5.6736 -0.1243 -0.1346 -0.29  ],0.12427535379969355,0.29,0.1345920226825346,0.5488673764822282
0.10712724,0.0,0.89287275,0.0,15.0,1.0,2.9143125052499933e-09,0.0005436721456765641,0.36641739202500634,0.9069138932759996,0.9606230205894074,0.9581708934153635,0.9570965646195563,0.5928236341407603,4.149765438985322,[ 4.1498 -0.1923 -0.3824 -1.2581],0.1922718673454243,1.2581063829787233,0.3823515168188465,1.832729767142994
0.10712724,0.0,0.89287275,0.0,16.0,1.0,1.8762812756241092e-06,0.1953751673004219,0.9732978939037803,0.95290918382896,0.9673231116300541,0.9667835331642063,0.9664657824447894,0.7174509355076412,5.022156548553488,[ 5.0222 -0.4056 -0.3291 -1.0637],0.40558887577771485,1.0637446808510638,0.32905086108649967,1.7983844177152783
0.10712724,0.0,0.89287275,0.0,17.0,1.0,4.06713538983388e-05,0.3129567315918889,0.9686088998048782,0.948932008063625,0.9719698089727903,0.94598130961741,0.9709207548559349,0.7313443120372035,5.119410184260425,[ 5.1194 -0.3714 -0.3099 -0.9798],0.37138854654323,0.9798297872340426,0.3099110948205984,1.6611294285978708
0.10712724,0.0,0.89287275,0.0,18.0,1.0,9.108278326404733e-06,0.1592656605579909,0.9896717855276878,0.9398409775933132,0.9714305769649135,0.9368646812001467,0.9703730415321109,0.7096365473792127,4.967455831654489,[ 4.9675 -0.2222 -0.3116 -0.9607],0.22219241252807664,0.9607021276595743,0.3115914392095959,1.494485979397247
0.10712724,0.0,0.89287275,0.0,19.0,1.0,6.155587330753665e-05,0.2578441249612186,0.9689282593831895,0.9221424488727179,0.9645037938625726,0.9646764632575391,0.9647909048493305,0.7204210787228394,5.042947551059876,[ 5.0429 -0.1815 -0.2969 -0.9039],0.18150000000000005,0.9039361702127657,0.29688336667636694,1.3823195368891326
