Pesos,Temperatura ambiente,Tarifa da energia Selétrica,IQB 1,IQB 2,IQB 3,IQB 4,IQB 5,IQB 6,IQB 7,IQB médio,IQB total,Recompensa total,Custo elétrico total,Custo de gás total,Custo de água total,Custo total do banho
10,15.0,1.0,1.1745120248653568e-21,5.6110333028865135e-05,0.7450553799268734,0.7798684518439283,0.0012892325299353792,0.08075132588178698,0.0956396524215163,0.2432371647052956,1.7026601529370693,[ 1.7027 -1.7804],0.46656404132725277,0.9866170212765955,0.3272416635951795,1.7804227261990277
10,16.0,1.0,4.907265296461529e-19,0.0017524975619368128,0.8283811673040241,0.6027589167236833,0.004941030060279737,0.05844838704007036,0.09121981333119779,0.22678597314588458,1.5875018120211921,[ 1.5875 -1.7113],0.4225047278911266,0.9594680851063828,0.32929162785608146,1.7112644408535909
10,17.0,1.0,1.3675305647959148e-16,0.013049442423961844,0.8373817710465858,0.16779335798663084,0.04263973210978627,0.0792856754036122,0.09588207111440236,0.17657600715499708,1.2360320500849795,[ 1.236 -1.647],0.39198161782154284,0.9236808510638298,0.3313229179950297,1.6469853868804023
10,18.0,1.0,2.541850363712224e-14,0.07016505896905512,0.840708541234357,0.02719230612300716,0.07130859861864972,0.09391988812526657,0.09915266401106117,0.1717781510116317,1.202447057081422,[ 1.2024 -1.5757],0.3620296070804974,0.8823404255319147,0.3313415921169834,1.5757116247293954
10,19.0,1.0,3.1512173111628133e-12,0.24635242101033922,0.855262300962338,0.007968370087415293,0.06642370212273319,0.09376078533215575,0.09981823331777596,0.19565511611941555,1.3695858128359089,[ 1.3696 -1.5032],0.3351928704239435,0.8366808510638296,0.3313415921169834,1.5032153136047566
10,20.0,1.0,9.169271163190597e-11,0.3559393929008337,0.8547185279686331,0.00828401634668248,0.06644036495982462,0.09368451666212255,0.09988703258847456,0.21127912164546628,1.4789538515182639,[ 1.479  -1.4413],0.327587413051515,0.7823829787234042,0.3313415921169834,1.4413119838919026
10,21.0,1.0,2.7544236834123073e-09,0.5554958307159381,0.82916343149714,0.006448469643725484,0.06335730161251295,0.09331234373738122,0.09980921491023627,0.2353695135530511,1.6475865948713577,[ 1.6476 -1.3704],0.31286025332130674,0.7262340425531915,0.3313415921169834,1.3704358879914815
10,22.0,1.0,5.720293376330814e-08,0.7435367584775707,0.6884166781096621,0.004540423071239126,0.059910597531222576,0.0929849422794301,0.09983440374914353,0.24131769434588599,1.689223860421202,[ 1.6892 -1.3103],0.2982269545038981,0.6787234042553191,0.3333728822559317,1.3103232410151489
10,23.0,1.0,7.926084197811459e-07,0.82217848340855,0.6260587105826431,0.0056364227028980005,0.06121229878367534,0.09320530766215455,0.09981009409880401,0.2440145871210207,1.708102109847145,[ 1.7081 -1.2465],0.28934463441928626,0.6238085106382978,0.3333728822559317,1.2465260273135157
10,24.0,1.0,1.0794305087837437e-05,0.873362381375733,0.48238335173001096,0.005413037204557066,0.06131530117521135,0.09304958215711082,0.09977517451063643,0.23075851749404966,1.6153096224583476,[ 1.6153 -1.1766],0.27186431361245994,0.5713617021276596,0.3333728822559317,1.176598897996051
