Weights,Mean_Average_IQB,Mean_IQB_temp15,Mean_IQB_temp20,Mean_IQB_temp25,Mean_IQB_temp30
"0.0,0.0,0.0,1.0",0.28369252677230794,0.3678749319824773,0.248495195455583,0.1297834445998792,0.4328955519379581
"0.0,0.0,1.0,0.0",0.3239255542108241,0.2352420102742903,0.3225432964462413,0.3068042113066739,0.3810510704636587
"0.0,0.37004405,0.0,0.62995595",0.3185048974439037,0.3678749319824773,0.2573894464441212,0.3722360201787526,0.5531571620505961
"0.0,0.542546,0.0,0.45745406",0.3552655185760496,0.229623872424519,0.3102409645769597,0.4019178826376251,0.6350500240126156
"0.0,0.56981677,0.116118364,0.31406486",0.38022389574169174,0.2250481263756857,0.3029628471426598,0.4198950178029498,0.6687669439280383
"0.0,0.660496,0.0,0.339504",0.3917672965250543,0.223526737929051,0.3237227890091956,0.4254057333431202,0.6810046616259449
"0.009937503,0.43693024,0.14115354,0.41197872",0.3457504132934731,0.2297680748526154,0.2848265064140794,0.4296557262408874,0.6573074659689969
"0.016362438,0.581232,0.08737008,0.31503546",0.3949767282058428,0.229061942412686,0.2837344412629621,0.4006801294480335,0.7041067006162767
"0.01724092,0.6437186,0.0,0.33904046",0.3927177692441286,0.2261291389854601,0.3040284431888002,0.3714770380154324,0.7031570416704966
"0.59605914,0.0,5.027632e-16,0.40394086",0.7695315783518119,0.624537363370916,0.7639857655524533,0.7800796854937523,0.8005722502101928
