P-iqb,P-eletrico,P-agua,P-gas,Temperatura ambiente,Tarifa da energia Selétrica,IQB 1,IQB 2,IQB 3,IQB 4,IQB 5,IQB 6,IQB 7,IQB médio,IQB total,Recompensa total,Custo elétrico total,Custo de gás total,Custo de água total,Custo total do banho
0.0,0.0,0.8929041,0.10709593,15.0,1.0,7.760265660639567e-05,0.06765383660383606,0.14660196262567765,0.06444401758341722,0.004085879597975336,6.221453774550628e-05,0.0035476835937360745,0.04092474245699918,0.2864731971989943,[ 0.2865 -0.4427 -0.2243 -0.7336],0.44265788926132227,0.7336382978723401,0.22430409327930462,1.400600280412967
0.0,0.0,0.8929041,0.10709593,16.0,1.0,0.0002807571176578132,0.16553216005836893,0.021486127126478072,0.053081379760629495,0.005075289530883255,0.0002395101554179459,0.006450888965122374,0.036020873244936844,0.2521461127145579,[ 0.2521 -0.4185 -0.2205 -0.7016],0.4184679469964915,0.7015531914893616,0.2205377123462178,1.3405588508320707
0.0,0.0,0.8929041,0.10709593,17.0,1.0,0.0009162651460965926,0.2964472854317903,0.04627649591246555,0.020486432875129718,0.002039952428286133,0.003751936975015734,0.026067391368617954,0.05656939430534314,0.395985760137402,[ 0.396  -0.3884 -0.217  -0.6781],0.3884303344970359,0.6781063829787233,0.2170292243416161,1.2835659418173753
0.0,0.0,0.8929041,0.10709593,18.0,1.0,0.0026974149709609965,0.4377604952031311,0.15417380183818002,0.03547766285949179,0.003104529545425908,0.012843569339340229,0.03695435316691783,0.09757311813192115,0.6830118269234481,[ 0.683  -0.3557 -0.2162 -0.6627],0.35572551565642274,0.6626808510638297,0.21618267475494982,1.2345890414752023
0.0,0.0,0.8929041,0.10709593,19.0,1.0,1.3638651629325054e-06,0.3251543955638091,0.09110827933237929,0.03629490881129977,0.004559415324455187,0.010829454034380959,0.04131935705558797,0.07275245342672503,0.5092671739870752,[ 0.5093 -0.2029 -0.202  -0.6553],0.20292042172213767,0.6552765957446807,0.20199813529373103,1.0601951527605493
0.0,0.0,0.8929041,0.10709593,20.0,1.0,0.0001585056174404022,0.4141775216436422,0.19751968295528546,0.033958335215603444,0.002709745592769699,0.008757694347321245,0.04662833887488896,0.10055854632099305,0.7039098242469514,[ 0.7039 -0.2775 -0.16   -0.5393],0.2775243027322478,0.5392765957446808,0.1600042280424137,0.9768051265193423
0.0,0.0,0.8929041,0.10709593,21.0,1.0,0.0003566709281188302,0.18342435457206502,0.2999890229321092,0.36787926920762587,0.3678790480805077,1.1968895814315437e-05,0.02551249347090562,0.17786468972673522,1.2450528280871465,[ 1.2451 -0.2795 -0.1279 -0.4621],0.2795021243345594,0.4621489361702127,0.1279044199483949,0.8695554804531671
0.0,0.0,0.8929041,0.10709593,22.0,1.0,0.002219612896704582,0.06286393251369275,0.42734752477625,0.367879311906427,0.36787911980332166,7.1040664650793e-05,0.522008706019743,0.2500384640829699,1.7502692485807896,[ 1.7503 -0.2591 -0.1326 -0.4467],0.2590527062687013,0.44672340425531903,0.13259065302959475,0.8383667635536151
0.0,0.0,0.8929041,0.10709593,23.0,1.0,0.010691289299095477,0.20071774353099908,0.6366839267281295,0.360139920118568,0.36764751695866266,0.00039128328953375334,0.819408075669757,0.3422399650849636,2.3956797555947453,[ 2.3957 -0.2503 -0.1397 -0.4381],0.25034614626903895,0.43808510638297865,0.13973090203356647,0.828162154685584
0.0,0.0,0.8929041,0.10709593,24.0,1.0,0.060773992099142304,0.18904927944162805,0.8378750783018721,0.52255871324592,0.5965072551787161,0.6261130194715526,0.6271503494001522,0.49428966959128334,3.4600276871389832,[ 3.46   -0.2291 -0.1728 -0.477 ],0.22914285651099647,0.47695744680851054,0.1727751035283762,0.8788754068478832
