Weights,Mean_Average_IQB,Mean_IQB_temp15,Mean_IQB_temp20,Mean_IQB_temp25,Mean_IQB_temp30
"0.0,0.6113845,0.0,0.3886155",0.4784025164292912,0.299019736148704,0.3219744858227879,0.5006620551458598,0.7018721962547705
"0.0,1.0,0.0,0.0",0.3671596984248853,0.267585699482812,0.3876068841810071,0.408551536085382,0.274916156929625
"0.04458177,0.0,0.9554182,0.0",0.6852204771530293,0.4902439525454598,0.611143276458364,0.7939434817302375,0.7604791899114887
"0.04556084,0.46303824,0.0,0.49140093",0.5748022897292151,0.3007897271263986,0.5000345693868075,0.5753725436127081,0.784610831828825
"0.052787114,0.19763686,0.0,0.74957603",0.5103466404092033,0.2490500454782089,0.3648717683789585,0.5382126251935119,0.8243410785616027
"0.06632808,0.0,0.0,0.93367195",0.5017981713384312,0.3678749319824773,0.3503717066874192,0.4805685929506157,0.8174063043279871
"0.07184005,5.1523227e-17,0.92815995,0.0",0.6886636079683549,0.4866672096460731,0.6111122066500242,0.8109907437902049,0.7359092941934481
"0.10074231,0.0,0.0,0.89925766",0.5446622997684449,0.3249042384378845,0.5094128743885928,0.7105282258516736,0.8571217778601133
"0.15080011,0.58983123,0.0,0.2593687",0.7327983833188761,0.4811147398758196,0.6977653684365225,0.8303833147171168,0.8302183127718586
"1.0,0.0,0.0,0.0",0.8115160878808513,0.6398826522935795,0.7990802220782893,0.8696932970642463,0.8586275909849886
