Weights,Ambient Temperature,Electricity Tariff,IQB 1,IQB 2,IQB 3,IQB 4,IQB 5,IQB 6,IQB 7,Average IQB,Total IQB,Total Reward,Total Electric Cost,Total Gas Cost,Total Water Cost,Total Bath Cost
"0.0,0.0,1.0,0.0",15.0,1.0,7.760265660639567e-05,0.08709200897079242,0.7565464002088053,0.36787933773050924,0.006203572892331667,0.7573929426315544,0.15191604272753637,0.3038725582597337,2.127107907818136,[ 2.1271 -0.4526 -0.2509 -0.8089],0.45258716312668773,0.8089148936170211,0.25088936124504785,1.5123914179887565
"0.0,0.0,1.0,0.0",16.0,1.0,0.0002807571176578132,0.1721641217573665,0.9537372918086358,0.36787931888336295,0.002266022851689889,0.7703729975684229,0.3677236212797851,0.376346304466703,2.634424131266921,[ 2.6344 -0.4264 -0.2342 -0.7275],0.4263549481262849,0.727468085106383,0.23424117645468095,1.3880642096873488
"0.0,0.0,1.0,0.0",17.0,1.0,4.355863550022849e-05,0.07887572829603999,0.7165742442037178,0.36787937859162745,0.0029103429447626325,0.6577722930923418,0.08510913302420646,0.27273781125545665,1.9091646787881964,[ 1.9092 -0.283  -0.2612 -0.8694],0.283048602384821,0.8693829787234042,0.2611517747634151,1.4135833558716402
"0.0,0.0,1.0,0.0",18.0,1.0,0.0001646437183356943,0.1599188566051183,0.9210568561285163,0.3678793747411848,0.0020223149260930966,0.9275756906568907,0.3678793301321656,0.39235672384404346,2.7464970669083044,[ 2.7465 -0.2598 -0.2472 -0.783 ],0.25983139095830954,0.7829999999999998,0.24715706689391856,1.2899884578522278
"0.0,0.0,1.0,0.0",19.0,1.0,0.0005613741257640244,0.28287934667363646,0.6488918801970575,0.36787930082633963,0.02272648888383286,1.0,0.36787936612934324,0.38440253669085334,2.6908177568359735,[ 2.6908 -0.2053 -0.2382 -0.7145],0.2053485570661598,0.7145106382978722,0.2381750641405943,1.1580342595046265
"0.0,0.0,1.0,0.0",20.0,1.0,0.009934566913789784,0.40007825757006643,0.3678792776428191,0.3063318730521026,0.3154864543873256,0.11940791997859054,0.8197787694507777,0.3341281598564959,2.3388971189954715,[ 2.3389 -0.3071 -0.2362 -0.646 ],0.30709554457317,0.6460212765957447,0.23618260545656214,1.1892994266254768
"0.0,0.0,1.0,0.0",21.0,1.0,0.006158256130842407,0.4500879469834654,0.36787931655619177,0.2815006943077242,0.04769591792459969,0.9228767186065021,0.36787936660313075,0.3491540310160652,2.444078217112456,[ 2.4441 -0.2758 -0.1891 -0.5097],0.27577467506866393,0.509659574468085,0.18909726804923457,0.9745315175859834
"0.0,0.0,1.0,0.0",22.0,1.0,0.004866370532727299,0.4988403662648265,0.3678793524103379,0.3678791704383082,0.8839973079481813,0.36787937245439517,0.3678791969283855,0.40846016242530886,2.859221136977162,[ 2.8592 -0.247  -0.1852 -0.4819],0.24697409908404552,0.48189361702127653,0.18520398780379618,0.9140717039091183
"0.0,0.0,1.0,0.0",23.0,1.0,0.04900002459251624,0.46304455188082033,0.3678793258980149,0.3676115867182192,0.3502347658770397,0.12158383732564886,0.603483101350664,0.3318338848061319,2.3228371936429233,[ 2.3228 -0.1815 -0.1272 -0.4294],0.18150000000000005,0.42944680851063816,0.12724422878970465,0.7381910373003429
"0.0,0.0,1.0,0.0",24.0,1.0,0.09617766389742173,0.06211070356825527,0.8269247480570668,0.3678321033389488,0.336215434420293,0.1073170422533996,0.4011647297143044,0.3139632036070985,2.1977424252496895,[ 2.1977 -0.2207 -0.1322 -0.3986],0.22074985435548855,0.398595744680851,0.1322139777789198,0.7515595768152594
"0.0,0.0,1.0,0.0",25.0,1.0,0.15102146949038453,0.190951000629954,0.15911957147740702,0.06299152914982478,0.7256531186076256,0.3678793883976089,0.36611584083197174,0.2891045597978253,2.023731918584777,[ 2.0237 -0.1992 -0.1143 -0.3727],0.19923326034262817,0.3726808510638297,0.11430285079132778,0.6862169621977856
"0.0,0.0,1.0,0.0",26.0,1.0,0.22954294929233587,0.36550649491167614,0.3677943044292215,0.3676875765835916,0.3646009403154121,0.3634215719070047,0.34735590375373676,0.34370139159899693,2.4059097411929784,[ 2.4059 -0.1809 -0.0777 -0.2943],0.1808549577511733,0.2943191489361701,0.07773582654699727,0.5529099332343407
"0.0,0.0,1.0,0.0",27.0,1.0,0.3253373594882601,0.3294489265167671,0.36596685875644336,0.36760653845571695,0.36751498914236425,0.3630683197915104,0.36226709514700994,0.3544585838997246,2.4812100872980722,[ 2.4812 -0.1687 -0.0587 -0.2659],0.16865546603895662,0.26593617021276583,0.0586603146827367,0.49325195093445917
"0.0,0.0,1.0,0.0",28.0,1.0,0.5956619343060318,0.36787942068817364,0.3677917343448702,0.36771410226206774,0.36763586499989015,0.3675618104090023,0.3674943550162122,0.400248460289464,2.801739222026248,[ 2.8017 -0.1508 -0.0635 -0.2456],0.15079948370621177,0.24557446808510636,0.06351656192649224,0.45989051371781037
"0.0,0.0,1.0,0.0",29.0,1.0,0.557948521653867,0.3678794617690917,0.36787941556532144,0.36787935320844395,0.36773324040938554,0.36767053483584583,0.36761193747412396,0.39494320927372556,2.764602464916079,[ 2.7646 -0.1356 -0.0693 -0.2326],0.13562579806350078,0.2326170212765957,0.0693469210044966,0.4375897403445931
"0.0,0.0,1.0,0.0",30.0,1.0,0.44538713848544825,0.36787947420616174,0.3678794493355531,0.3678794053055962,0.367879353175016,0.36787929955387844,0.3678792481997423,0.378951909751628,2.652663368261396,[ 2.6527 -0.1221 -0.073  -0.2209],0.12207519578951825,0.2208936170212766,0.07296449916133456,0.4159333119721294
"0.0,0.0,0.0,1.0",15.0,1.0,0.3636680213877706,0.0,0.0,0.0,0.0,0.0,0.0,0.3636680213877706,0.3636680213877706,[-4.6363 -5.1815 -5.     -5.1123],0.18150000000000005,0.11229787234042554,3.505424130311925e-06,0.2938013777645559
"0.0,0.0,0.0,1.0",16.0,1.0,0.36402710338102884,0.0,0.0,0.0,0.0,0.0,0.0,0.36402710338102884,0.36402710338102884,[-4.636  -5.1815 -5.     -5.1049],0.18150000000000005,0.10489361702127659,3.505424130311925e-06,0.28639712244540694
"0.0,0.0,0.0,1.0",17.0,1.0,0.3643705574305712,0.0,0.0,0.0,0.0,0.0,0.0,0.3643705574305712,0.3643705574305712,[-4.6356 -5.1815 -5.     -5.0963],0.18150000000000005,0.09625531914893616,3.505424130311925e-06,0.2777588245730665
"0.0,0.0,0.0,1.0",18.0,1.0,0.3349744736490698,0.0,0.0,0.0,0.0,0.0,0.0,0.3349744736490698,0.3349744736490698,[-4.665  -5.1815 -5.     -5.0913],0.18150000000000005,0.0913191489361702,1.1830806346376362e-05,0.27283097974251663
"0.0,0.0,0.0,1.0",19.0,1.0,0.16955239147658963,0.0,0.0,0.0,0.0,0.0,0.0,0.16955239147658963,0.16955239147658963,[-4.8304 -5.1815 -5.0001 -5.0845],0.18150000000000005,0.08453191489361701,5.477224803620781e-05,0.26608668714165323
