,n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean
0,1,7.856247066229116e-07,1.2995519110518616,4.507197916507721,4.271948608137045
1,2,6.572001893800916e-07,1.682482684493236,4.213177800178528,5.187823834196891
2,3,6.96158792834467e-07,1.93625860458966,4.395999073982239,5.70756062767475
3,4,8.122594863380073e-07,2.2076614253155387,5.225623607635498,6.039274924471299
4,5,8.709286589692056e-07,2.4265350041091067,4.53989851474762,6.374800637958533
5,6,8.141142302520166e-07,2.6326259244198345,4.654104024171829,6.545008183306056
6,7,1.0464149227118469e-06,2.7735526814095595,5.06618544459343,6.5805921052631575
7,8,9.539429584037862e-07,2.955113809454022,4.951111504808068,6.781725888324873
8,9,1.1415279459470185e-06,3.1663559441976927,4.848351240158081,6.800681431005111
9,10,4.43888848167262e-06,3.3198399271695878,5.033128470182419,6.923875432525952
10,11,4.438868472789181e-06,3.409643650147968,5.1723626255989075,6.946180555555555
11,12,0.8142412304878235,3.5028473161157696,5.250641077756882,6.979057591623037
12,13,4.43930366600398e-06,3.545067425821582,4.977987736463547,6.961739130434783
13,14,0.9342404305934906,3.634370523804499,5.244336903095245,6.984265734265734
14,15,0.8992651998996735,3.7449726983252667,5.142538756132126,6.987783595113438
15,16,1.0279687643051147,3.8432318054334162,5.3756735026836395,6.9877622377622375
16,17,2.2469946295022964,3.8502369859708487,5.171605139970779,6.994755244755245
17,18,4.439089480001712e-06,3.999124290927053,5.596661299467087,6.984265734265734
18,19,2.8056372106075287,4.121979208822668,5.380555599927902,7.0
19,20,2.390666781924665,4.162333055094887,5.459652870893478,7.0
20,21,1.6200771033763885,4.215469661904694,5.45607852935791,6.993006993006993
21,22,2.6324829049408436,4.256831972881819,5.671152204275131,7.0
22,23,2.5999684245325625,4.3130406193944815,5.9632066786289215,6.996503496503497
23,24,7.4318700171716046e-06,4.372971176770907,5.636987000703812,6.979057591623037
24,25,0.924330323934555,4.49790808809856,5.976490676403046,6.991258741258742
25,26,3.3331959545612335,4.5261881771884935,5.769357264041901,7.0
26,27,1.2034118981318898e-06,4.63173061570742,6.057676434516907,6.979057591623037
27,28,2.368697613477707,4.744376050386499,5.778883934020996,6.993006993006993
28,29,1.7261263565160334e-06,4.827037755098657,6.2276246547698975,6.979057591623037
29,30,1.7153972387313843,4.904223592391798,5.915960848331451,6.993006993006993
30,31,2.994082063436508,5.0206626492492115,6.022261142730713,7.0
31,32,2.9431352741084993,5.05877338808585,6.113381952047348,7.0
32,33,3.6152386078611016,5.180792582642137,6.334917783737183,7.0
33,34,3.967715322971344,5.279806234098273,6.086769998073578,7.0
34,35,4.098527580499649,5.302345751882433,6.071668416261673,7.0
35,36,4.0488985776901245,5.352333632417507,6.2214847803115845,7.0
36,37,4.086003243923187,5.462089092015646,6.229060709476471,7.0
37,38,4.3814376294612885,5.5478710481169555,6.260825037956238,7.0
38,39,4.312991976737976,5.580890880272418,6.238496035337448,7.0
39,40,4.465276747941971,5.678608130213467,6.407211720943451,7.0
40,41,4.612471812858985,5.741358458854714,6.35372120141983,7.0
41,42,2.7128480724059045e-06,5.762728507870913,6.46771913766861,6.989528795811518
42,43,4.084492415189743,5.80838899134337,6.378297865390778,7.0
43,44,4.6475575268268585,5.818627628282859,6.4185751080513,7.0
44,45,4.389926552772522,5.849724828531467,6.377530336380005,7.0
45,46,4.409013234078884,5.908107417433724,6.450425624847412,7.0
46,47,4.942173570394516,5.916249746790863,6.3833167552948,7.0
47,48,5.084256321191788,5.948666872655656,6.481739103794098,7.0
48,49,4.931551098823547,5.993879171614802,6.405312925577164,7.0
49,50,5.007132432423532,5.963939872478997,6.371684670448303,7.0
50,51,5.125536393374205,6.02319108441446,6.430457770824432,7.0
51,52,5.0433086194098,5.9936862493524306,6.392990529537201,7.0
52,53,4.938553839921951,6.037602916529233,6.397097855806351,7.0
53,54,5.001008868217468,6.060064949421457,6.440343111753464,7.0
54,55,4.7384565151442075,6.074268819646032,6.42795068025589,7.0
55,56,4.921496480703354,6.061012739068144,6.4517452120780945,7.0
56,57,1.2074087862856686e-06,6.0771598363973265,6.545697748661041,6.989510489510489
57,58,5.463768273591995,6.059000144680064,6.403475224971771,7.0
58,59,5.135880603920668,6.07678836565742,6.450484812259674,7.0
59,60,5.362722963094711,6.102932818507981,6.51554149389267,7.0
60,61,5.0626755331177264,6.119996257121854,6.536487817764282,7.0
61,62,5.459887325763702,6.120631669114642,6.501892268657684,7.0
62,63,5.077483743429184,6.109974775494278,6.494655430316925,7.0
63,64,5.526792585849762,6.121455009837493,6.498570740222931,7.0
64,65,5.279607404023409,6.168273254636336,6.549043297767639,7.0
65,66,5.4289295971393585,6.168599874668489,6.512074291706085,7.0
66,67,5.489090234041214,6.185261195365685,6.550001502037048,7.0
67,68,5.076037257909775,6.1822383216665,6.520034670829773,7.0
68,69,5.418159045279026,6.204485770556325,6.510985970497131,7.0
69,70,5.172671899199486,6.198679599884923,6.579325020313263,7.0
70,71,4.841420075565225,6.177735467590875,6.506418526172638,7.0
71,72,4.80631422996521,6.180128826940484,6.528774857521057,7.0
72,73,5.165036916732788,6.184204064766288,6.510304570198059,7.0
73,74,5.1105934381484985,6.184356478458815,6.545636415481567,7.0
74,75,4.423353460850194,6.197590909567772,6.526783347129822,7.0
75,76,5.158478021621704,6.2117632930729725,6.465557098388672,7.0
76,77,5.316296763718128,6.229867709852703,6.552156746387482,7.0
77,78,5.342624366283417,6.249809428397077,6.533307313919067,7.0
78,79,4.929738912731409,6.228796161535372,6.619530141353607,7.0
79,80,1.0547061037868843e-06,6.237052784276075,6.577390909194946,6.989510489510489
80,81,5.443266063928604,6.2676221960584675,6.574712753295898,7.0
81,82,5.291040010750294,6.265665303928764,6.566519260406494,7.0
82,83,5.368732243776321,6.276727701000699,6.606883645057678,7.0
83,84,5.429459631443024,6.279729620013679,6.641740798950195,7.0
84,85,5.589852422475815,6.283110922449953,6.545427441596985,7.0
85,86,5.183947756886482,6.278911121007237,6.6283488273620605,7.0
86,87,5.764819622039795,6.293931410264634,6.610582411289215,7.0
87,88,5.298861275427043,6.310466486541473,6.556105554103851,7.0
88,89,5.305349297821522,6.323322862295525,6.575782358646393,7.0
89,90,5.314713343977928,6.302552764240372,6.58476197719574,7.0
90,91,5.812404781579971,6.296963229801525,6.545272529125214,7.0
