,n,episode_reward_min,episode_reward_mean,episode_reward_max,episode_len_mean
0,1,-35.02863387134421,-7.741528542881399,7.209992587566376,4.37719298245614
1,2,-30.000123238840025,-5.072101345981019,8.913737887144089,4.577803203661327
2,3,-22.797708423051517,-3.0421505775048794,9.753609329462051,5.1505791505791505
3,4,-15.234478193287215,-1.0971697233897022,10.222009313106538,5.721030042918455
4,5,-13.144582754373552,1.0941465368778978,12.219806252606215,6.034690799396682
5,6,-8.671410942077637,2.8466070471161107,12.319828292727472,6.487012987012987
6,7,-8.795908707380296,4.236883474533626,11.583889138326048,6.521172638436482
7,8,-6.939302992820741,5.416201962595722,12.574485304951668,6.72436974789916
8,9,-6.397633839957416,6.307469222929058,13.182308781147004,6.825938566552901
9,10,-6.34619619846344,6.987731944661578,12.857988262176512,6.932409012131716
10,11,-6.106652307510377,7.5476390710508765,13.362560103088619,6.91522491349481
11,12,-4.705675601959229,8.2445935755011,13.820327631384135,6.961672473867596
12,13,-5.989432001113892,8.66546637426668,13.751877006143332,6.989528795811518
13,14,-5.782501840591431,9.390526214678928,14.455932778120042,6.95993031358885
14,15,2.16406455039978,9.970655254112629,14.08568634390831,6.998251748251748
15,16,2.251176935434341,10.426076235741956,14.087219335138798,6.996503496503497
16,17,-6.160891699790955,10.882485468950437,14.310804130882023,6.989528795811518
17,18,1.6958047270774839,11.36759031704495,14.301153703033926,6.992994746059544
18,19,4.867497372627257,11.699021418387643,14.19266137033701,7.0
19,20,5.7434510469436635,11.984035193689936,14.24680426493287,7.0
20,21,5.732056808471679,12.367434643321564,14.295593580603597,7.0
21,22,8.044699430465696,12.682257530406007,14.374702899344264,7.0
22,23,8.101857388019562,12.774477696472573,14.278579661622645,7.0
23,24,8.582594496011735,13.009019212947296,14.381177011132241,7.0
24,25,9.731439808011055,13.163483653170386,14.548129141330719,7.0
25,26,8.11425187587738,13.298452210781335,14.482938414812088,7.0
26,27,9.661936116218566,13.303242072299057,14.36880581974983,7.0
27,28,10.914090991020203,13.434831099172829,14.329768792539834,7.0
28,29,9.916509056091307,13.502489144324612,14.491462045907973,7.0
29,30,11.370830747485162,13.569727029699724,14.460164064913988,7.0
30,31,11.361446833610534,13.629750121250154,14.528777513594832,7.0
31,32,11.327564978599549,13.675295158262706,14.492174023389818,7.0
32,33,11.458589386940004,13.787714957881176,14.740176129341124,7.0
33,34,11.729653432965279,13.816334788921438,14.439613425731658,7.0
34,35,11.611804670095443,13.919709560616518,14.545875835418702,7.0
35,36,11.443954572081566,13.951732354686564,14.393860656023026,7.0
36,37,11.344644021987916,14.009466270259374,14.590899953246115,7.0
37,38,12.552553589642049,14.06156570191429,14.52638863325119,7.0
38,39,12.492382194101811,14.102623906468073,14.52105375677347,7.0
39,40,12.228004430234432,14.125851447283678,14.491264962978313,7.0
40,41,12.3898560076952,14.171079730947262,14.628493960201741,7.0
41,42,11.928082132339476,14.18313036342389,14.491854846477509,7.0
42,43,13.294416522979736,14.20977571375514,14.395556518621746,7.0
43,44,11.39254009127617,14.224824574848203,14.574579529464245,7.0
44,45,12.943635267019275,14.248881989731775,14.565976327657697,7.0
45,46,12.524024724960325,14.264035741937056,14.425689475238325,7.0
46,47,12.77827451825142,14.272578170421571,14.55229420736432,7.0
47,48,12.922889709472656,14.284560522075015,14.408743973076344,7.0
48,49,13.293569127470256,14.291941813910794,14.473494508862496,7.0
49,50,13.132932733744383,14.30185481653725,14.589067980647085,7.0
50,51,12.908701005578042,14.301142051833532,14.381420985981823,7.0
51,52,13.795770759135486,14.31757804814966,14.57443508207798,7.0
52,53,13.173563399910925,14.31610577046378,14.414284862577915,7.0
53,54,13.026068800687792,14.323346077237453,14.538481605052947,7.0
54,55,11.913223028182982,14.326513344465859,14.47626323029399,7.0
55,56,13.696325969696044,14.334938211860624,14.534841448068619,7.0
56,57,12.948678389936685,14.337122734594123,14.5650573015213,7.0
57,58,13.15863544717431,14.344099906348896,14.635181714221835,7.0
58,59,13.390537920594216,14.340358520741903,14.382474065944553,7.0
59,60,14.034565913677216,14.347730628936224,14.5520348764956,7.0
60,61,13.455514911562203,14.349662918007951,14.408312306553125,7.0
61,62,12.970898917317392,14.34852015842576,14.540132907032968,7.0
62,63,13.958255315572021,14.35274885581197,14.584377883374692,7.0
63,64,13.437843961641194,14.354808270967045,14.547990325838327,7.0
64,65,13.678753710538148,14.356527033433261,14.476114776730538,7.0
65,66,14.16310691535473,14.357423473203687,14.47961495295167,7.0
66,67,12.912340021133424,14.356823429986227,14.46474910899997,7.0
67,68,13.651896432787181,14.360178351524441,14.681494263559578,7.0
68,69,13.358342146873474,14.361382816144184,14.58863533809781,7.0
69,70,13.213554847985506,14.361859997019138,14.435119402036069,7.0
70,71,14.213927666842936,14.365007805105224,14.549270587414503,7.0
71,72,14.14002632945776,14.365139217108599,14.563833521306517,7.0
72,73,12.781583380699157,14.362546413900795,14.499732679873704,7.0
73,74,13.881939602643252,14.364239538838106,14.514194779098032,7.0
74,75,14.308599495887757,14.367968105602769,14.43722958937287,7.0
75,76,13.991899372264745,14.367634040156398,14.469079542905092,7.0
76,77,13.554725874587895,14.366498027882667,14.393242413550615,7.0
77,78,12.086571360379457,14.36470615155311,14.480875405669213,7.0
78,79,14.171564804017544,14.366884458139513,14.386928073316813,7.0
79,80,14.329896575212478,14.36860570611429,14.480418499559164,7.0
80,81,13.518928563594818,14.36669841879117,14.387486346065998,7.0
81,82,14.33359993994236,14.370536854472801,14.394684952124951,7.0
82,83,14.312595005333423,14.370265169971338,14.417564614117145,7.0
83,84,14.265227832645179,14.37143578788538,14.425223411247135,7.0
84,85,13.70516799800098,14.370504912061428,14.543357492983342,7.0
85,86,14.325828805565836,14.372592619207277,14.392564054578543,7.0
86,87,13.98900972008705,14.352569857950447,14.485358688235282,7.0
87,88,14.28324216902256,14.36582325464245,14.470264122635125,7.0
88,89,13.505855509638788,14.365333329048662,14.562197981774808,7.0
89,90,14.172419860959051,14.368607933474902,14.494633155874906,7.0
90,91,12.087621712684632,14.366170838412872,14.47020230665803,7.0
91,92,14.282841768860816,14.36946842719156,14.528916393965481,7.0
92,93,13.13372258320451,14.34480861735321,14.399444098025558,7.0
93,94,14.132149755954742,14.34697479289798,14.382474065944553,7.0
94,95,14.263990965485574,14.354235704121752,14.382474065944553,7.0
